Label,statement,subjects,speaker_name,speaker_job,speaker_state,speaker_affiliation,statement_context
true,Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.,animals$crime,kirk-watson,lawyer,Texas,democrat,a news article.
mostly-true,40% of Americans know someone who has been killed by a gun.,guns$public-safety$market-regulation,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,a Medium post
barely-true,Lincoln Chafee voted with President George W. Bush and the conservative leadership 76% of the time.,bipartisanship$candidates-biography$voting-record,democratic-governors-association,,,democrat,a statement on a DGA-created website
mostly-true,FACT: the special assistant in @johnkasichs office makes over three times more than an average #OH firefighter,government-efficiency$public-service$state-budget$workers,ohio-democratic-party,,Ohio,democrat,a tweet on Twitter
mostly-true,"Says Hillary Clinton couldnt bring herself to say we need to separate commercial banking and speculative banking, namely reinstating Glass-Steagall.",financial-regulation,martin-omalley,Maryland governor,Maryland,democrat,comments on the Daily Show
false,"Says Rand Paul thinks drug-dealing, theft, burglary and prostitution should be decriminalized.",crime$message-machine,jack-conway,Kentucky Attorney General,Kentucky,democrat,a campaign video
barely-true,"Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.",abortion$government-regulation$women,nickie-antonio,State representative,Ohio,democrat,a news conference
mostly-true,Republican ideas on health care dont give people an option to even enroll in something that they can afford.,health-care,donna-brazile,Political commentator,"Washington, D.C.",democrat,a broadcast of CNN's Situation Room
extremely-false,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",foreign-policy$immigration$terrorism,sean-hannity,Radio/TV host,,none,a segment of Fox News' Hannity
half-true,"Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.",taxes,tax-foundation,,,none,a Facebook post
mostly-true,"When he (Donald Trump) asked Florida to have casino gambling, we said no.",campaign-finance$gambling,jeb-bush,,Florida,republican,the CNN debate
half-true,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",government-regulation$public-health,no-60-campaign-against-condom-requirement-adult-fi,,,organization,in a campaign video advertisement
half-true,Atlanta Mayor Kasim Reed held not one conversation with the public about the new Falcons stadium project,city-government$transparency,william-perry,Common Cause Georgia Executive Director,Georgia,none,newspaper column
false,"In the weekend after the terrorist attacks in Paris, the White House said this couldnt happen in the United States. ISIS couldnt reach us here.",terrorism,joe-scarborough,Host of a morning show on MSNBC,,none,on MSNBC's Morning Joe
half-true,The Treaty of Tripoli signed by President John Adams was his outreach to Muslims.,pundits$religion,keith-olbermann,Political commentator,,none,comments on the MSNBC show Countdown 
half-true,The Obama administration went to court to keep one of these five in jail at Guantanamo just three years ago because he was such a huge risk.,foreign-policy$military$terrorism,stephen-hayes,Senior writer for the Weekly Standard,,none,a discussion on Fox News Sunday
barely-true,I turned a $110 million deficit into a $1.6 million surplus for our city.,candidates-biography$city-budget$city-government$debt$deficit$economy$history$taxes$unions,angel-taveras,Mayor of Providence,Rhode Island,democrat,a fundraising letter
false,"Over the last four years, the deficit has gone up, but 90 percent of that is as a consequence of President George W. Bushs policies and the recession.",debt$deficit$economy,barack-obama,President,Illinois,democrat,an interview on CBS' 60 Minutes
half-true,"Says in Washington, D.C., Sen. Richard Burr took millions from special interests, went there and cashed in, voted to cut (his) own taxes and raise taxes on working folks.",campaign-finance$candidates-biography$congress$taxes$workers,deborah-ross,Democratic candidate for U.S. Senate,North Carolina,democrat,a campaign ad
mostly-true,"In February, John McCain suggested the Bergdahl-Taliban swap that he now calls outrageous and dangerous.",afghanistan$foreign-policy,rachel-maddow,MSNBC host,,none,a broadcast of the Rachel Maddow Show
true,"China now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars.",china$deficit$trade,terry-mcauliffe,Governor,Virginia,democrat,an appearance on MSNBC's Hardball with Chris Matthews.
barely-true,We have more natural gas than Saudi Arabia has oil.,energy$environment$transportation,tommy-thompson,,Wisconsin,republican,a speech
half-true,Says New York Mayor Michael Bloomberg says we can only have three bullets and the NRA wants firearms with nukes on them.,candidates-biography$civil-rights$guns,wayne-lapierre,,,none,an interview on NBC’s Meet the Press
half-true,"Throughout his time in elected office, Barack Obama has taken multiple positions on banning handguns and the D.C. handgun ban.",guns,john-mccain,U.S. senator,Arizona,republican,
true,New provisions of the health care law bar the use offlexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,health-care,pat-mullins,"chairman, Republican Party of Virginia ",Virginia,republican,a letter. 
true,The House of Representatives does not have a prochoice majority.,abortion,loretta-sanchez,member of Congress,California,democrat,an interview on Morning Joe
barely-true,Says critics called the original GI Bill welfare.,history$pundits$veterans,lawrence-odonnell,,,none,TV advertisement for MSNBC's The Last Word.
barely-true,"In contrast to President Barack Obama, who is not acting presidential, President Ronald Reagan would never go into the Oval Office without his jacket on thats how much he revered the presidency.",history,ken-langone,Financier,New York,none,an interview on CNBC
mostly-true,"A lot of the ideas in terms of the (health insurance) exchange, just being able to pool and improve the purchasing power of individuals in the insurance market, that originated from the Heritage Foundation.",health-care,barack-obama,President,Illinois,democrat,an interview on NBC's Today show
half-true,Says he supported the 1994 crime bill because there is a ban on assault weapons in that bill.,candidates-biography$guns,bernie-s,U.S. Senator,Vermont,independent,comments on Meet the Press
half-true,"The Democratic leader in the Senate, Harry Reid, has blocked any vote on the Keystone pipeline for years.",congress$congressional-rules$energy$voting-record,chris-wallace,Fox News Sunday host,,none,comments on Fox News Sunday
barely-true,"Were $15 trillion now in debt, with a president thats racked up as much debt as almost all of the other presidents combined.",deficit$federal-budget$history,mitt-romney,Former governor,Massachusetts,republican,"a Republican presidential debate in Sioux City, Iowa"
extremely-false,America has already taken in one-fourth of Mexicos entire population.,immigration,ann-coulter,Columnist and author,New York,republican,an interview on America with Jorge Ramos
extremely-false,Hartsfield-Jacksons new international terminal is opening within budget.,transportation,john-kennedy,SpokesmanHartsfield-Jackson International Airport,,none,a radio interview
extremely-false,Florida Democrats just voted to impose Sharia law on women.,islam$legal-issues$religion,blog-posting,,,none,in various social media posts
false,Says President Barack Obamas debt commission recommended converting Medicare to a system where Medicare participants are given a voucher to purchase insurance in the private market.,deficit$federal-budget$medicare,tom-petri,U.S. House member -- 6th District,Wisconsin,republican,a constituent newsletter
extremely-false,"Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isnt even getting the money for that.",economy$environment$history$pundits$recreation$state-budget$state-finances$tourism,john-depetro,Talk-show host,Rhode Island,talk-show-host,a talk radio comment
false,Gun homicide is down 49 percent in the past 12 years.,guns,facebook-posts,Social media posting,,none,a meme on social media
false,Says Jason Carter has gotten David Axelrod to come down and be his campaign advisor.,elections,nathan-deal,,,republican,radio interview 
false,As long as I have served . . . This is the first time every single solitary decision has required 60 senators.,bipartisanship$government-efficiency,joe-biden,U.S. senator,Delaware,democrat,a fundraiser in Florida
true,Charlie Crist bizarrely vetoed $9.7 million for a teaching hospital at the University of Florida despite having previously argued the budget request had merit.,health-care$state-budget,marco-rubio,U.S. Senator,Florida,republican,comments on his campaign website
true,"Six of the 10 richest counties in the United States surround Washington, D.C.",income$wealth,mike-huckabee,author,Arkansas,republican,a radio show.
true,"For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated.",economy$jobs,sherrod-brown,U.S. Senator,Ohio,democrat,a newspaper column
true,"We can prevent terror suspects from boarding an airplane, but the FBI doesn't have the power to block them from buying dynamite or an AK-47.",civil-rights$guns$terrorism,michael-bloomberg,,New York,independent,an op ed article
barely-true,Says Chris Christie vetoed equal pay for women 3 times. He only let the bill pass once it became a damaging campaign issue.,income$women$workers,ultraviolet,Liberal advocacy group,"Washington, D.C.",none,a Facebook meme
true,Four out of 10 homicides are committed by gun in this city.,crime$guns,sam-adams,Mayor of Portland,Oregon,democrat,a city council meeting
false,"When White House communications director Anita Dunn said that Mao Tse-tung was one of her favorite philosophers, only Fox News picked that up.",pundits,bill-oreilly,Fox News Channel host,,none,a comment on the O'Reilly Factor
true,The federal government is now on track for the second-largest budget deficit in 65 years.,federal-budget$pundits,glenn-beck,,,none,comments on his TV show
half-true,"If West Virginia had voted for our Democratic nominee in 2000 and 2004, we wouldn't have had to put up with George Bush for the last 7 years.",elections,hillary-clinton,Presidential candidate,New York,democrat,"Logan, W. Va."
false,A defense bill includes language that would require military hospitals to provide abortions on demand.,abortion,john-cornyn,Senator,Texas,republican,a statement
half-true,District 22 includes about 80% of the district I have represented since 2010. District 20 includes about 20% of the area I have represented since 2010.,redistricting,jack-latvala,State Senator,Florida,republican,a newsletter
half-true,The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.,economy,john-mccain,U.S. senator,Arizona,republican,"Nashville, Tenn."
barely-true,Rick Scotts company is partners with Playboy in a social networking website that has community pages specifically geared towards gay dating.,candidates-biography$corporations$gays-and-lesbians$immigration,bill-mccollum,,Florida,republican,a campaign mail piece.
true,McCain is raising campaign cash with one of (Jack) Abramoff's closest business partners: scandal-plagued conservative activist Ralph Reed.,ethics,democratic-national-committee,,,none,
false,"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",environment$federal-budget$market-regulation,allen-west,"U.S. representative, Florida District 22",Florida,republican,a TV interview
half-true,Debt doubled under Bush and now its tripling under Barack Obamas watch.,debt,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,a speech announcing his presidential campaign
half-true,"Says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms.",civil-rights$crime$criminal-justice$guns,Arizona-Citizens-Defense-League,,,organization,an email to supporters
barely-true,Austin ISD has the highest graduation rate of every major city in Texas.,children$education,austin-independent-school-district,School district,Texas,none,an advertisement spotted at the site of high school graduation ceremonies
false,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",elections,scott-walker,Milwaukee County Executive,Wisconsin,republican,a fund raising letter
true,Says more Austinites voted in the citys 1973 election featuring a mayors race than in the citys most recent mayoral election.,elections$history,bee-moorhead,"Executive director, Texas IMPACT",Texas,democrat,a civic summit.
mostly-true,About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.,elections$redistricting,dennis-kucinich,U.S. representative,Ohio,democrat,an email to supporters
mostly-true,I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.,florida,charlie-crist,,Florida,democrat,Associated Press' annual legislative meeting
true,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education,scott-walker,Milwaukee County Executive,Wisconsin,republican,a radio interview
mostly-true,Obamacare carries on even under a government shutdown.,federal-budget$government-efficiency$health-care,paul-ryan,U.S. Representative,Wisconsin,republican,an interview on CBS' Face the Nation
false,"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",education,andy-brown,Attorney,Texas,democrat,a web post.
mostly-true,The amount of the revenue required by the state (for the construction of high-speed rail) is around 10 percent.,stimulus$transportation,bill-nelson,,Florida,democrat,an Orlando rail conference.
false,China holds 26 percent of the U.S. debt.,deficit$federal-budget$foreign-policy,herman-cain,,Georgia,republican,a speech in Iowa
false,Says top Clinton advisers were pressing birther movement stories very hard.,obama-birth-certificate,donald-trump,President-Elect,New York,republican,a presidential debate
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,crime$immigration,louie-gohmert,U.S. House member,Texas,republican,a radio interview.
half-true,Says Charlie Crist voted against raising the minimum wage.,economy$jobs,republican-party-florida,,,republican,a campaign commercial
true,"In his first TV interview as president, Obama said we should talk to Iran.",foreign-policy,mitt-romney,Former governor,Massachusetts,republican,remarks at the Republican National Convention in Tampa
half-true,"Says Amanda Fritz publicly claimed to be endorsed by NARAL Pro-Choice Oregon, both on her website and in the voters guide.",city-government$message-machine-2012$women,mary-nolan,Represents Southwest Portland in Oregon House,Oregon,democrat,a campaign press release
mostly-true,"A Cornell University research study concludes that ethanol generates a 29 percent energy loss, meaning it takes more than a gallon of gasoline to produce a gallon of ethanol.",agriculture$energy$environment$science,matt-gaetz,State Representative,Florida,republican,an op-ed article
barely-true,This president ... could have gotten crippling sanctions against Iran. He did not.,foreign-policy$nuclear,mitt-romney,Former governor,Massachusetts,republican,"in a Republican presidential debate in Mesa, Ariz."
mostly-true,"Says how much money the government is collecting from people...in terms of the gross domestic product is the lowest in 40, 50 years.",federal-budget$taxes,bill-pascrell,U.S. House of Representatives,New Jersey,democrat,an interview on WOR-AM
mostly-true,Kelly Ayotte has voted to defund Planned Parenthood six times.,abortion$congress$voting-record,maggie-hassan,Candidate for governor,New Hampshire,democrat,an editorial board interview with the Concord Monitor
half-true,Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.,jobs$states,martin-omalley,Maryland governor,Maryland,democrat,an interview on CBS's Face the Nation
true,There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.,afghanistan$families$government-efficiency$homeland-security$iraq$military$veterans,john-scocos,,,state-official,a statement
mostly-true,"For the first time in history, Wisconsin has more government jobs than manufacturing jobs.",jobs$message-machine,leah-vukmir,Member of state Assembly,Wisconsin,republican,a campaign brochure distributed door-to-door
mostly-true,I delivered to you a budget that ... cuts taxes by $2 billion.,state-budget,rick-scott,Governor,Florida,republican,his State of the State speech.
true,"When the governor announced his jobs budget, 99 folks from the Department of Taxation were let go the next day.",government-efficiency$jobs$state-budget,nina-turner,State senator,Ohio,democrat,a forum on the state budget
mostly-true,"40,000 veterans in Texas wont get health care because Perry rejected Obamacares Medicaid expansion.",health-care$veterans,gilberto-hinojosa,"Chairman, Texas Democratic Party",Texas,democrat,an interview on YNN’s “Capital Tonight”
true,"98 percent of American families make under $250,000 a year.",taxes,barack-obama,President,Illinois,democrat,"a speech at Florida Atlantic University in Boca Raton, Fla. "
mostly-true,Barack Obama cut taxes for working families.,taxes,barack-obama,President,Illinois,democrat,a television ad
half-true,There has been a 100 percentincrease in student debt under this Democratic White House.,debt$education,jeb-bush,,Florida,republican,a Twitter exchange
half-true,The Democrats' health care bill gives a new Health Choices Commissioner the right to look at an individual's tax return to determine what medical benefits or subsidies that person qualifies for.,health-care$taxes,concerned-women-america,conservative advocacy group,"Washington, D.C.",none,the group's Web site
mostly-true,Nearly 46 million Americans don't have health insurance coverage today.,health-care,barack-obama,President,Illinois,democrat,a town hall meeting
half-true,Very few men outlive their own fertility.,children$families$gays-and-lesbians$human-rights$legal-issues$marriage$science$sexuality$supreme-court,charles-cooper,,,newsmaker,arguments before the U.S. Supreme Court
barely-true,"The president has said the national security threat facing America, the top one, is global warming.",climate-change,paul-babeu,Pinal County Sheriff,,republican,an interview on Fox News' Hannity
half-true,Says Rick Scott cut Medicaid so people cant get Obamacare.,health-care$medicaid,rick-scotts-starbucks-heckler,"Activist, stay-at-home mom",Florida,activist,a confrontation with Rick Scott at Starbucks
half-true,Says Rick Scott cut Bright Futures scholarships in half.,education,charlie-crist,,Florida,democrat,a TV ad
half-true,Says 50 percent of millennials dont associate with any political party.,elections$polls,rock-vote,,,none,a tweet
mostly-true,Says Lake Erie contains more native fish than all the other Great Lakes combined.,environment$recreation$water,marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,a House of Representatives floor speech
half-true,"Since February 2009, the private sector has lost millions of jobs while the federal government has grown by hundreds of thousands of workers.",economy$government-efficiency$stimulus,john-boehner,Speaker of the House of Representatives,Ohio,republican,a speech at the City Club of Cleveland
false,"Every time weve cut taxes, revenues have gone up, the economy has grown.",economy$federal-budget$taxes$abc-news-week,joe-walsh,member of Congress,Illinois,republican,an interview on This Week with Christiane Amanpour
mostly-true,Ninety percent of American workers dont own their own business.,small-business$workers,rick-santorum,,Pennsylvania,republican,an interview on Face the Nation.
false,Says President Barack Obama has opened up no new trade relationships with other nations.,economy$foreign-policy$new-hampshire-2012$trade,mitt-romney,Former governor,Massachusetts,republican,"a Republican presidential debate in Manchester, N.H."
half-true,A cap-and-trade plan promoted by Barack Obama would hit hardest those already struggling to make ends meet.,cap-and-trade$climate-change$energy,sarah-palin,,Alaska,republican,her book Going Rogue
true,"Say that under state law, systems development charges can only be spent on capital investment.",infrastructure$message-machine-2012,charlie-hales,"Senior vice president, HDR Engineering",Oregon,none,a debate
true,"Every poll you see, the overwhelming majority of people want [E-Verify].",immigration$polls$workers,peter-palumbo,State Representative,Rhode Island,democrat,a talk radio show.
mostly-true,Says there are half as many students in one Georgia technical college than there were two years ago.,education$state-finances,dubose-porter,,Georgia,democrat,a meeting
half-true,Said that his batting average with Congress is higher than every other president since Dwight D. Eisenhower except Lyndon Johnson.,job-accomplishments,jimmy-carter,,Georgia,democrat,"Former President Jimmy Carter, Sept. 20, during an NBC interview about his latest book "
true,The stimulus bill contains $20 million for the removal of small to medium-sized fish passage barriers and $25 million to rehabilitate off-roading trails for ATVs.,economy$federal-budget$stimulus,mike-pence,Governor,Indiana,republican,a speech
half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",economy$job-accomplishments$jobs,one-new-jersey,,,democrat,an article posted on One New Jersey’s website
false,U.S. Senate Majority Leader Harry Reid on whether Senate Democrats would seat Roland Burris.,legal-issues,harry-reid,Senate Democratic Leader,Nevada,democrat,public statements.
true,"In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.",economy$jobs,chris-christie,Governor of New Jersey,New Jersey,republican,State of the State address
mostly-true,Fifty percent of Speaker Gingrichs tax plan goes to the top 1 percent.,new-hampshire-2012$taxes,barack-obama,President,Illinois,democrat,a conference call by a campaign spokesman with New Hampshire reporters.
barely-true,A judge took the Star Scientific tax case away from Ken Cuccinelli,ethics$legal-issues,terry-mcauliffe,Governor,Virginia,democrat,debate
barely-true,"Eighty percent of the oil were discovering, were discovering in the deep Gulf of Mexico.",energy,joe-barton,U.S. Representative,Texas,republican,a speech.
false,"Says nearly 30,000 federal employees in Oregon were furloughed during the government shutdown.",economy$federal-budget$jobs,suzanne-bonamici,State Senator,Oregon,democrat,an opinion piece. 
mostly-true,There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.,abortion,marco-rubio,U.S. Senator,Florida,republican,an interview on 'Face the Nation'
extremely-false,Says Obama sent $450 million to China to build a wind farm in Texas.,china$jobs$message-machine-2012$stimulus,americans-tax-reform,,,none,a mailer to voters
barely-true,Taking all the money of the top 1 percent wouldnt keep Medicare going for three years.,education$health-care$taxes,neil-cavuto,,,republican,a broadcast of Cavuto Coast to Coast on Fox Business Network
false,"Says judges are using Shariah law in Dearborn, Mich.",religion,leo-berman,State representative,Texas,republican,a House committee hearing
true,"The region I represent, both currently and in the future, has more automotive plants than the entire state of California.",economy,marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,an interview with C-SPAN
false,Senator McCain would pay for part of his (health care) plan by making drastic cuts in Medicare $882-billion worth.,health-care,barack-obama,President,Illinois,democrat,"a speech in Roanoke, Va."
true,Ninety six percent of employers in the Granite State are considered small businesses.,congress$government-efficiency$government-regulation$small-business,jeanne-shaheen,Senator,New Hampshire,democrat,remarks from the Senate floor
half-true,"In one Colorado hospital, 50 percent of newborns tested had marijuana in their system.",marijuana,arizonans-responsible-drug-policy,,,none,a political advertisement
extremely-false,Justice John Roberts Signed Off On Obamas Arrest For Treason.,criminal-justice$legal-issues,blog-posting,,,none,various posts on the Internet
